Origine,Destination,Temps Execution Dijkstra (en ms), Nb Sommets, Temps CPU A* (en ms), Nb Sommets
277198,562177,398.5928,22839,776.6756,2844
510476,222168,363.1852,20307,324.15875,2963
655131,605009,387.3028,21798,320.23062,2623
372706,515285,524.45404,39429,314.7152,1859
50072,56520,763.8763,76465,491.26804,22600
635732,429283,377.24628,21092,321.3678,2664
230946,477976,212.9159,25383,468.7754,2545
492432,438894,312.2627,25947,358.43094,4041
421624,429030,314.89355,36663,470.2824,3754
116524,420593,302.5947,36194,377.34167,8194
317495,483810,521.75433,39514,395.42413,3378
291673,196435,356.42584,40881,341.9709,4327
632753,431981,341.14966,17511,309.871,2365
92937,549530,403.39944,49083,514.88385,11551
270123,341187,173.81084,16885,335.55328,1402
137747,3726,628.12726,76981,660.9439,29428
33914,622697,334.219,36814,496.1567,17483
325299,204941,675.936,56411,325.9851,2305
162062,401071,918.88007,89725,346.76086,7085
153207,402894,231.02727,24997,311.7656,2554
634326,514153,456.9459,35724,313.379,2731
521990,457941,212.13998,22657,365.02054,3752
439293,446803,269.44904,13306,310.67728,2145
78644,177967,690.3282,83976,374.70227,7770
167721,86980,398.71884,23910,383.06476,9261
214240,140568,341.94925,39218,536.1662,11123
431277,256793,245.39223,28238,325.09222,1758
150820,372120,475.571,34316,348.2688,5715
148750,627907,394.3648,21689,321.99026,2476
299776,358173,389.55804,27560,336.82397,5560
472945,488252,490.64453,59334,335.43857,5105
394112,117517,410.6475,26266,398.66553,2330
490193,350579,395.96863,46121,343.18256,4791
275957,606065,527.3486,37938,351.59253,6489
387005,582269,328.51147,20460,366.88654,3158
439880,74001,823.61554,75447,414.59903,13037
567133,150300,195.16478,23263,528.94556,4878
76583,337436,317.55273,38052,379.2447,9920
299503,315386,192.57596,21598,334.07114,2958
556194,33615,345.3384,18280,322.99942,3667
208438,477423,304.7402,33456,492.89313,4924
650242,191400,225.61597,20138,383.60754,2706
390987,14185,289.58206,33053,404.68875,12967
194104,402121,693.50964,59306,5724.638,648388
196111,38836,365.17133,18526,381.25012,1894
347817,254233,349.69168,38235,394.13672,6011
30829,173012,855.8188,73267,414.046,11484
358945,295410,423.13504,50383,357.63818,7220
478386,438600,507.30377,35391,354.0567,5836
533432,533292,417.62558,27070,401.59433,2567
354247,311532,311.85226,36464,354.8854,4322
399260,314641,351.25784,19383,322.62854,3057
355801,343525,231.4515,27630,458.35565,1962
163385,516087,205.10916,22964,376.07928,7125
207261,577894,638.9238,55480,437.13074,17657
582923,414940,143.01764,9508,310.00226,392
11043,266993,771.9326,79422,309.44336,2502
112805,276628,495.05853,58362,324.05664,2139
214743,332785,567.1259,46880,385.9344,10419
298980,497719,419.36493,29065,330.7862,4180
43044,379083,493.84238,40045,319.79474,3999
172250,99172,145.32365,17034,315.98837,2302
273578,582451,388.18015,23949,330.00302,4290
33310,46667,226.12556,27921,307.77783,1347
142496,43684,470.3488,35185,402.9658,11873
22860,626826,435.1803,33200,332.02957,4741
404680,409758,148.8838,17334,328.07797,4134
421072,240787,320.4657,16247,339.66852,2415
598581,222016,347.88254,25298,353.61047,3362
456273,632143,287.5002,33683,473.37848,1395
326600,585615,581.82983,73221,654.4195,29437
501742,541326,176.94054,19619,369.17004,4782
159729,242205,185.48709,22593,5754.3193,648388
199093,115963,343.92508,13653,334.26224,4082
452720,81608,362.3882,31901,406.56796,6600
436129,32781,194.95177,22218,514.26447,5665
599988,183140,664.2417,74685,520.0757,12786
400803,39117,344.86502,32930,360.55844,3712
