Origine,Destination,Temps Execution Dijkstra (en ms), Nb Sommets, Temps CPU A* (en ms), Nb Sommets
183017,575158,2004.0864,135676,1497.6127,47286
511015,25973,3499.827,273145,999.39886,71197
41806,138736,2556.4692,212017,1251.8729,94688
307321,423801,1101.2518,107108,1175.0463,62765
202159,228524,3264.9531,317992,901.8691,65254
23855,537088,2742.092,269506,1747.1749,124007
370150,490403,4262.3477,367599,1695.5518,133662
595428,529331,2864.8347,273008,1405.7819,115062
598382,426988,2860.7874,288917,1476.8959,125737
261818,63541,4025.9678,411181,1143.4971,91003
634521,526328,3202.956,313123,929.131,65614
633505,235203,2701.1836,269486,972.7288,72669
3335,147727,1605.837,158771,976.76935,66157
36573,413977,3033.6934,286132,6630.1323,647328
31684,406444,1938.4436,202320,1243.4865,96602
328567,365293,1945.7512,187359,881.8078,64342
505037,175650,3699.6362,359770,1227.8563,102716
353250,32540,2695.8662,285921,1156.2883,95558
656774,92710,4246.3813,429154,1703.6969,143859
359900,230907,2424.5837,249672,1341.1299,104446
191425,232616,2995.1267,308834,1655.7339,149857
386795,138594,1609.2546,164416,1307.9836,103251
325845,471812,1555.708,153047,990.4822,77874
139514,362029,3815.5208,381724,1620.7372,147819
445314,63364,3155.1846,282272,910.92096,64551
37077,254931,2861.198,283505,1940.1335,169113
436312,222914,1088.122,104063,442.95135,12086
526661,286184,1054.5249,108285,720.9749,50586
536055,372373,3128.3057,300379,761.0966,53693
553785,168336,1581.9116,154385,627.49976,35969
436444,417540,3374.7507,347428,1620.2897,142885
501662,87341,3602.034,340932,1223.2594,96480
376195,296696,3420.7214,339627,891.2074,62285
537454,565703,3141.6226,297240,1151.5245,92318
230638,518216,3619.072,346941,1557.6227,133960
646162,359542,4005.7607,376784,1472.2733,124106
655589,393423,4962.733,489916,1943.675,161067
229139,316409,1675.3068,146137,6267.26,647328
538867,81213,1640.5352,144434,1200.4807,75928
213068,221753,2795.511,269992,920.5589,69306
107640,23486,1592.0889,145216,1227.1084,84993
460113,156193,1868.4813,191925,818.5649,61109
329762,96005,1975.2106,211366,1293.19,115873
158460,649549,929.9104,85479,782.67584,35804
174435,222381,2962.1565,303484,1677.4089,140255
153090,634509,1605.3721,155614,818.6264,50675
129696,419694,2527.1091,258869,1573.3002,133428
412789,89692,1200.7693,115193,822.36414,46774
490703,485524,2372.0122,256043,1371.4938,113489
606660,346621,1956.0117,190385,972.18286,69438
104658,254764,1452.2887,152235,840.063,42957
314740,162142,2680.986,261790,874.4659,58564
333256,399914,3161.2502,307475,1346.5708,109088
404873,299034,4093.6582,411413,1530.4285,129792
231164,7215,3893.6702,391675,1204.574,97950
654647,193279,4379.5654,416281,1300.0627,100564
76627,316000,1923.6284,188940,979.57684,73262
17236,218904,1960.4626,195610,1160.9325,86320
378426,49785,1023.15924,99755,645.992,24042
418354,610680,1616.7072,174417,810.92694,57117
248183,541583,719.5358,78342,530.43866,12012
149655,632284,2636.193,258675,1432.0063,116608
634671,434815,3723.6528,381775,1326.6431,112708
559804,134658,3317.622,333595,1607.3151,124841
600641,288395,2255.0767,221703,1477.2611,122701
223703,30891,2148.776,229761,942.91846,73638
533688,139963,4197.829,410440,1301.0002,106746
504524,25121,3189.974,283753,843.33417,50897
207021,529385,1724.2574,165191,1056.55,75181
552888,577173,2043.321,217709,796.39703,57260
339530,654749,2827.3687,281522,1168.6045,93689
79149,284305,2046.0444,201542,930.5391,70211
539433,638722,1281.3655,146553,971.9267,65288
547910,228973,1685.9703,168899,963.17053,74457
158093,298769,2825.4968,302017,1609.4141,137972
77781,408749,3071.095,305974,1138.9135,92037
503336,71167,1894.1526,160895,1243.4381,86475
265886,84774,1086.3351,114608,812.96136,59741
252888,427795,915.372,91769,904.0274,69719
455797,613904,4754.871,446436,1653.9052,139961
304218,607180,1320.4489,129059,525.4024,22619
506971,524792,2793.6438,287501,1179.0303,90969
574453,656538,2897.2546,289652,1617.0013,136772
261853,229033,2313.656,221083,840.02094,58929
183097,396369,2794.4148,283384,857.54395,65835
282253,654592,3385.457,326928,1483.2566,123408
456324,298167,3293.0967,321954,878.6488,59070
107217,89392,1798.4338,192304,1107.7357,87053
246794,206874,3104.3372,303733,1289.3124,101710
299544,302277,5854.5327,550006,2128.2622,192824
433439,407666,1542.9725,157931,884.9222,55781
148451,357664,2584.3967,258528,1156.5782,87461
254887,341193,3413.402,331608,854.453,56836
434203,254523,3058.8157,325230,1956.0907,176804
294985,399801,1536.6775,159416,659.1254,34275
63164,498178,2441.838,237956,791.7056,53525
211218,148802,1257.8185,118807,6519.5186,647328
369188,187349,3007.6523,275631,986.0781,71932
235008,318146,2614.4238,274922,1435.933,119069
464453,533023,1408.8379,135641,863.79297,52901
103549,109096,3965.2397,371066,2298.5688,160527
419587,160651,3690.0874,373037,1420.0095,125151
349920,135170,1073.1356,96679,565.20135,31171
176698,275307,992.6025,91167,564.6578,19842
201422,504021,2968.127,308564,1730.9673,153615
510285,113301,2929.1084,283625,867.3397,56570
371244,204376,2217.3823,237139,1079.4708,85553
622409,37310,4983.564,490879,1851.1982,163691
206551,427930,1890.0248,189136,680.1624,31220
283284,604102,2919.303,316347,6364.5205,647328
406227,452262,2026.2764,184824,1036.8955,81433
59746,447434,1721.4835,173614,833.89075,49833
491764,28420,1636.2906,176201,1281.8376,97846
593085,536570,3094.1367,278619,1054.6049,81671
228862,390519,3784.618,386823,1196.4781,94968
436278,617690,772.7696,89380,674.88135,29928
292057,408893,2634.2102,250174,1553.3915,131777
134638,156461,2635.2803,283440,1627.9867,138291
581812,211821,2098.7097,213490,1117.4714,81707
266918,223071,1054.2158,117366,459.62598,17143
11810,379506,3023.4429,291016,1235.5203,99509
203991,412744,3394.2454,358142,2150.6445,193719
440271,27654,1436.929,139431,920.73114,58816
366032,194975,1153.5312,126388,712.59125,33442
81601,590154,3211.7925,327019,1972.0446,177641
305194,254990,2879.7412,264724,1279.985,110378
51197,327952,2460.7393,233637,1383.8645,99452
400532,488349,1145.863,127409,673.0466,30083
128630,235571,2130.9028,205544,1209.7766,98735
485169,518140,2116.2913,217542,865.9807,56434
594783,494281,2062.9043,226065,1285.5237,110670
173232,593759,1972.3417,186415,909.66284,62930
216100,499856,3315.1655,346427,1036.2542,73700
616258,489747,2026.4243,216355,1646.0006,144958
16252,450897,1531.7656,140664,807.5341,56076
347981,543350,2661.3462,259821,972.2799,71252
477140,504353,2223.9678,237520,1452.0537,121092
504020,128323,4757.948,460101,1450.383,123960
1107,60121,1437.2941,135286,997.78876,70549
275702,229510,2945.3547,310438,1381.2961,96922
393476,623858,4932.49,461579,1398.7596,118676
647153,422715,943.31537,107118,605.41547,37623
386576,135375,2933.201,294815,1616.9977,127343
137551,146438,1335.9674,121180,821.13367,60336
112202,431787,918.8384,85626,707.2188,39452
554588,317326,2906.1414,308078,1430.2828,118465
641618,1717,1349.0862,137613,852.86884,54709
565594,58166,1626.5986,177406,1236.3618,108487
173070,576390,1368.177,132316,601.6469,33366
647365,399328,2170.1597,205073,1192.0166,93855
91223,89342,1555.088,168164,1086.5223,90031
492765,23543,3181.0635,320449,1626.487,134798
580941,320738,2172.1355,215726,1444.9003,114169
410347,129128,1810.0221,201312,897.7847,57467
203314,448137,1613.7515,159240,1118.4534,78605
535529,28635,2658.5154,267578,1363.7759,100254
199300,282001,2805.7205,277753,1503.9413,134813
380523,25877,970.1296,92325,454.1821,11505
342437,35448,2186.6914,202399,849.3579,53391
87356,377606,3837.777,380030,1194.7992,97429
627983,500418,2549.0166,254128,778.9609,56297
392990,11764,2904.2761,291327,873.20514,62786
390790,172975,1202.2769,112172,772.78705,52380
265004,524878,2444.2803,239528,1116.8185,92962
85383,544591,4216.7773,422648,2565.109,234166
403628,426763,929.9528,82065,789.5178,44574
628330,289717,2212.3545,225609,1520.9264,126444
603967,241667,2692.38,268264,894.997,57733
123895,301895,3778.6443,344311,1524.5111,125213
435425,83677,4399.144,435397,1578.3805,132332
627171,325467,3120.746,316064,927.1898,60405
589735,26215,1899.2406,193202,986.6381,65511
472267,552180,1765.8549,189098,1093.0652,88012
122977,438833,1307.7896,127574,1020.7286,73565
347325,385004,1054.4825,118277,722.09,35521
62900,184081,2135.7603,228223,1133.2811,84605
513225,661221,2793.041,300400,1424.7201,122802
41350,307472,2773.407,284652,1734.446,155733
117839,447589,2563.3347,270444,1975.6688,172953
533609,307921,1873.8569,193547,1315.829,107825
519459,65496,2310.8809,244732,951.01794,66510
475462,618687,1115.7688,110908,790.26715,35201
453030,217112,4424.2153,415672,1111.4368,85380
177625,444313,1714.1345,187810,747.15155,38704
