Origine,Destination,Temps Execution Dijkstra (en ms), Nb Sommets, Temps CPU A* (en ms), Nb Sommets
277198,562177,809.52246,22190,490.49203,7442
510476,222168,518.8891,21881,663.713,11215
655131,605009,242.67911,24538,401.78784,9522
372706,515285,768.7761,39923,372.75735,7626
50072,56520,854.0141,71492,715.462,35180
635732,429283,370.48572,21294,405.75995,4997
230946,477976,461.67563,34003,455.97916,14627
492432,438894,231.58905,19677,363.24344,6863
421624,429030,345.38458,38519,563.1564,18835
116524,420593,375.18747,30408,411.1764,11409
317495,483810,381.456,42720,413.13327,14251
291673,196435,343.35184,39036,400.79257,11034
632753,431981,294.31757,11362,408.03616,4877
92937,549530,669.2071,59635,524.2133,27643
270123,341187,516.7529,36301,401.3084,10326
137747,3726,728.42114,71066,700.31604,35770
33914,622697,338.18533,39821,496.0511,22577
325299,204941,907.0402,78246,391.10077,11393
162062,401071,1094.2539,109709,791.8964,49418
153207,402894,430.5174,49219,402.8466,13082
634326,514153,446.68375,27923,361.88736,7447
521990,457941,170.6037,19677,517.3186,8951
439293,446803,123.27154,12697,358.3894,5070
78644,177967,748.4378,84634,795.86426,45081
167721,86980,280.53647,22245,415.6325,11115
214240,140568,532.21136,39033,485.18002,21021
431277,256793,412.7984,25944,381.42276,7724
150820,372120,552.64825,46652,534.262,20650
148750,627907,189.0632,21442,420.42395,11627
299776,358173,217.25922,25088,524.49054,11781
472945,488252,618.98535,60913,565.1055,24476
394112,117517,401.97256,23559,403.73062,8328
490193,350579,613.6482,49031,507.5114,24768
275957,606065,476.88672,42189,499.28842,23107
387005,582269,360.26016,19293,344.96375,6086
439880,74001,625.39294,68666,681.63464,29439
567133,150300,275.86267,23007,399.62854,10560
76583,337436,316.07782,35829,429.8484,16423
299503,315386,359.7611,17410,357.97183,6480
556194,33615,279.84576,15864,364.81256,6685
208438,477423,421.0801,31250,391.75946,11292
650242,191400,235.78209,26185,385.8809,8691
390987,14185,431.59882,32384,454.644,16511
194104,402121,714.3299,55646,6166.186,647327
196111,38836,225.18636,25421,426.74628,12275
347817,254233,449.8941,52063,535.87335,20187
30829,173012,801.93536,74944,689.76337,39270
358945,295410,456.88605,47165,395.5905,12003
478386,438600,376.5076,38909,571.64136,19306
533432,533292,182.21593,18273,475.04922,4367
354247,311532,432.2201,29681,393.43042,9764
399260,314641,227.45277,24669,397.44406,11956
355801,343525,367.144,39212,369.7371,7972
163385,516087,288.16013,23463,448.23508,14282
207261,577894,733.73596,66600,570.3135,33683
582923,414940,96.18955,10627,453.86127,2782
11043,266993,883.8393,86560,486.86026,18958
112805,276628,1071.309,98363,555.90924,20469
214743,332785,433.36047,49787,555.8786,27251
298980,497719,519.5947,37549,535.1714,13581
43044,379083,348.154,39361,394.80728,9082
172250,99172,180.82404,20715,353.0353,7925
273578,582451,362.37225,19674,440.82727,8099
33310,46667,313.73364,35272,445.8199,17001
