Origine,Destination,Temps Execution Dijkstra (en ms), Nb Sommets, Temps CPU A* (en ms), Nb Sommets
255734,299833,5778.189,594624,1449.8395,110801
465277,363939,5399.266,598938,1397.6819,122678
290667,617893,4397.1265,486418,1475.9178,124961
194942,456362,4290.3945,473316,1198.7727,96185
1299,580573,5222.824,600051,1363.0231,115286
643542,214003,4995.16,574472,1424.7462,124566
362258,230540,4346.5273,500763,1295.933,111345
66105,583886,5105.9556,568555,1467.1866,126128
66601,17920,5371.728,598175,1151.5697,91551
582189,311493,5755.295,592580,1706.5938,155019
609961,770,4575.052,519252,1357.0886,115234
331481,494862,4139.741,467480,984.21796,77453
259062,457771,4607.2344,529523,1066.0464,84103
522571,314875,4387.261,510904,1105.7913,88842
191062,239533,3621.7124,414969,1710.9767,152362
501371,108285,3799.1213,455679,2416.4597,239626
242831,138952,4799.87,541414,1283.7618,112702
402353,401074,5512.769,618126,1168.6438,99491
518530,453927,5968.8237,643866,1717.4799,159875
145201,356617,3651.8167,403493,1154.1632,97289
446022,293131,5144.6675,581742,1197.3632,98406
168611,428553,3649.1284,402848,1001.0627,78375
660504,357056,3585.9246,399821,1416.8497,127600
224207,388675,3734.9272,444022,1901.309,182531
113118,369298,5556.2554,625014,1331.1611,118870
91425,130790,3950.8865,443638,1465.778,128362
71420,70145,5331.2607,616102,1550.113,141912
130302,98651,4051.3708,417726,1640.1898,151126
61340,232786,4331.8667,491912,1010.35944,82386
631720,268485,4102.36,455345,1999.2437,191903
127986,238684,4236.4326,482297,1770.0393,170261
378639,434242,5043.329,577433,1363.5304,125963
378254,591303,4479.741,509621,1420.4055,125141
608416,576550,5699.464,636549,1221.7731,102702
69424,528463,3826.9087,441689,1019.67236,72892
216922,272528,3856.6284,454799,1336.3553,118848
472456,377785,4096.4854,419105,1485.3567,117880
18616,221882,3643.8481,430241,1064.4779,84341
193492,395495,4657.8887,550179,1239.2864,107998
132722,429554,4257.2466,476449,902.2426,67332
172103,152950,5065.504,575811,1319.2358,118843
136221,505976,5284.4346,602536,1404.3809,125593
4813,270483,4020.0198,458880,1272.8861,115420
68434,420259,3916.0703,428966,1700.2195,160987
145018,63267,5025.895,574492,1495.9851,131636
266408,508657,4838.678,527707,1537.6866,116678
571822,309965,5404.118,619249,1569.623,147698
574680,216253,5530.383,628448,1137.0829,96252
291697,206562,4080.175,457373,1307.4423,111726
543605,492981,5347.519,619031,1492.9666,133983
434717,97349,4501.7114,498756,1238.4207,109179
467067,557897,5169.9873,582266,1078.7932,88850
99251,514751,5130.4775,589996,1326.9915,115031
523570,606541,4744.381,544418,1395.2686,117679
357239,318130,5305.757,576058,6052.651,648388
87440,499243,4226.9395,473566,1010.8263,80059
644331,546790,5480.2573,612603,1283.8652,115420
270930,21213,5502.5054,597235,1667.1481,157594
