Origine,Destination,Temps Execution Dijkstra (en ms), Nb Sommets, Temps CPU A* (en ms), Nb Sommets
633329,164855,5971.084,607181,2806.428,259440
543066,470984,3695.7207,394224,1823.9352,168615
151056,57448,5616.129,565924,3328.262,304992
258682,51945,3093.4668,314126,1362.6431,116666
26270,438215,3892.375,397332,2468.2808,230759
397013,163005,4227.303,440896,2491.2812,234062
574382,22020,5493.1816,559388,2265.3848,213501
234769,220436,4683.745,475871,2041.795,187918
501075,19461,5492.871,551809,2066.001,193518
388310,144564,4614.499,484582,2826.4775,265576
197842,349969,4481.276,464411,1872.1853,169816
441686,524569,5485.3105,596046,5048.421,482891
661388,355026,3994.1362,395084,1814.7943,159307
270561,514230,5588.402,585725,2277.4656,214395
154180,241792,6161.7666,629164,2591.7686,245337
312026,658698,4061.1514,447270,3058.9636,292302
124161,199683,5303.2144,545737,3708.8213,332863
232436,55547,5207.184,513465,2647.5405,253604
25678,287973,4027.6448,426084,2630.2937,253334
327749,403822,4594.26,471146,2664.7476,251066
287358,258893,4580.819,477958,6365.3716,647328
554858,329746,5765.398,607547,2615.0464,255107
388373,372431,5547.929,577180,2322.0288,223817
511898,182654,4183.969,425690,1334.9562,115341
476457,425618,5805.542,555592,4124.3145,393679
143852,226096,3314.4912,368295,2006.2817,191241
323371,304473,4051.4941,419352,2708.2026,268015
73275,69929,5306.1855,527837,1151.9238,93743
109008,295709,5559.4795,570915,2464.9434,232065
595934,37751,5184.978,556254,2256.3062,211730
221246,420839,5387.0986,569346,3821.5642,376095
410117,179071,4865.405,478173,2153.8948,183863
296851,401111,5602.782,591898,3148.9177,298867
566684,532824,6130.8403,644077,4410.679,429196
423028,538648,4403.5825,464304,2980.8687,286050
15778,650728,5387.8804,549543,1985.1809,187666
269935,560255,3255.8538,354650,2299.1538,215375
458708,636531,3560.3962,399519,2922.309,278712
424393,87783,4898.2744,518792,3535.5703,306266
628092,587034,5998.0654,595889,2218.8196,195553
491846,7042,3599.2932,383971,2321.156,219562
579793,10449,5566.1895,581034,2659.2295,251116
515511,312538,5965.0166,611813,2681.0117,260430
181739,90197,3236.7322,347169,1507.161,136222
283730,407627,5485.9536,551081,3768.6116,354136
141698,447973,4025.5288,433940,3001.4163,259394
187156,119765,4354.9927,450742,1925.9387,173548
196263,421045,5357.8877,587357,3795.8062,372842
256585,168962,6222.7715,634231,3247.2075,304595
122939,61799,3368.226,358898,2354.367,212024
456651,219687,5109.514,543718,3444.7766,318393
193672,220695,4915.327,496528,1380.051,121121
649129,449248,5566.2974,576618,2903.6575,262361
340904,39721,5755.912,563186,2896.811,275540
161655,302995,6231.5635,639150,3046.604,286277
91213,115364,4450.795,473001,2961.4817,285874
253203,223889,3365.7085,349588,2156.9797,204467
377692,469746,6144.599,643974,3576.531,353788
627444,359190,6155.3403,643453,2946.7163,283694
413427,248583,4387.7583,452510,3595.7327,321236
628461,562494,6100.218,616714,2920.7898,269219
121470,192401,4366.862,462481,2829.6492,260853
510092,437819,4665.2485,473644,2740.3323,262500
183066,516749,6358.4697,636207,5070.4155,492325
112429,424042,5773.2397,583626,2686.514,250269
216905,467665,4384.8955,449594,2291.1748,220632
