Origine,Destination,Temps Execution Dijkstra (en ms), Nb Sommets, Temps CPU A* (en ms), Nb Sommets
504020,128323,3547.8333,378537,644.70593,37428
1107,60121,1517.0713,163675,885.58514,54978
275702,229510,1833.6493,208187,536.1256,20083
393476,623858,3501.6223,386423,678.4255,43350
647153,422715,883.7956,110518,437.4663,17213
386576,135375,2805.5718,303224,618.07715,36608
137551,146438,1081.2236,134736,744.4749,43565
112202,431787,792.3663,98912,608.5568,23012
554588,317326,3379.2783,356392,1102.4944,75384
641618,1717,1163.6349,118187,415.22598,12039
565594,58166,1507.0446,166977,947.4051,72646
173070,576390,1096.6113,131114,473.41022,8202
647365,399328,1701.0801,165853,510.63312,21219
91223,89342,1675.7916,182468,779.9508,47501
492765,23543,2490.0376,266497,619.5403,32985
580941,320738,1971.2333,221118,982.0483,76475
410347,129128,2201.8843,255944,525.2831,26333
203314,448137,1077.8335,116657,430.01648,13969
535529,28635,2924.016,314854,805.92145,54773
199300,282001,2358.4707,276243,943.704,70288
380523,25877,1410.9053,153311,408.02957,11497
342437,35448,1612.6954,176269,385.89734,10625
87356,377606,2824.7185,313972,522.2679,18061
627983,500418,1178.8727,140716,500.32187,12293
392990,11764,3448.9177,369107,734.4826,37428
390790,172975,1227.1575,118119,644.7142,23540
265004,524878,2309.697,269203,795.09064,53412
85383,544591,3475.302,391580,690.78357,43471
403628,426763,862.12445,83631,633.5083,22877
628330,289717,1859.7827,213782,806.97485,61315
603967,241667,1994.4707,207750,510.57318,22193
123895,301895,3071.1086,340610,588.8367,34141
435425,83677,2678.7727,297164,572.66876,29093
627171,325467,2668.613,303411,529.1063,26727
589735,26215,2032.7056,216044,532.67816,29274
472267,552180,1526.256,176722,610.5435,38850
122977,438833,961.1835,120604,841.87836,53342
347325,385004,1206.8826,130529,538.0745,17612
62900,184081,2379.424,259572,613.64496,36183
513225,661221,2824.214,314885,738.37854,51769
41350,307472,2530.003,268941,1080.9832,82243
117839,447589,2193.3325,223522,531.0607,16282
533609,307921,1605.2517,177484,817.8178,51955
519459,65496,2281.397,238836,462.21866,14875
475462,618687,991.77277,121990,571.3104,20263
453030,217112,3678.6504,420513,672.4794,42311
177625,444313,1654.7799,170094,491.47107,13063
394095,646528,2621.6528,276081,475.8151,19200
410071,352969,1858.4431,201446,495.78497,13070
288364,568082,2474.5615,267320,968.39484,71298
361871,91963,1613.461,185644,637.38165,40162
460630,335235,963.6612,119780,571.7431,16842
638274,67122,3415.982,377948,645.9075,34635
335203,171465,3663.524,415645,587.9591,32388
633992,380313,4075.8943,445337,820.4867,58219
651055,71931,2155.7185,233507,705.0304,25679
370392,465305,1516.5219,148465,738.08594,31897
510095,233426,1770.4087,206242,630.76886,40834
248374,448781,1241.5974,149588,530.1211,15689
165402,43767,2092.3074,219491,458.33466,16262
346343,510094,2011.3981,225196,845.3161,56439
292954,75524,2797.112,320187,461.45886,18842
413971,522888,2018.8522,205902,439.34012,14899
